Time,Front Right,Front Left,Rear Right,Rear Left
1697321839.4361126,3.3129942417144775,4.6797776222229,2.9107513427734375,4.3729777336120605
1697321839.5629005,3.312901735305786,4.670851230621338,2.910505771636963,4.37487268447876
1697321839.6580617,3.312993049621582,4.664919376373291,2.9105613231658936,4.349335670471191
1697321839.7537065,3.313063383102417,4.636770725250244,2.9108240604400635,4.30968713760376
1697321839.8490186,3.3129806518554688,4.667261123657227,2.9108216762542725,4.384420871734619
1697321839.9439542,3.312782049179077,4.678409576416016,2.9112534523010254,4.345441818237305
1697321840.039768,3.312837600708008,4.67014217376709,2.911153554916382,4.335760593414307
1697321840.13427,3.312899351119995,4.675384521484375,2.9106786251068115,4.391143798828125
1697321840.2295337,3.3128573894500732,4.684720516204834,2.9107537269592285,4.361210823059082
1697321840.32419,3.3128042221069336,4.63038444519043,2.9119210243225098,3.8693807125091553
1697321840.4187777,3.2649152278900146,4.6021199226379395,2.9149153232574463,4.248659610748291
1697321840.5142655,3.2659034729003906,4.57027006149292,2.912705659866333,4.302226543426514
1697321840.6089773,3.2672345638275146,4.629395008087158,2.915592670440674,4.409323215484619
1697321840.7042713,3.266061305999756,4.57873010635376,2.9169485569000244,4.265498161315918
1697321840.7990253,3.2670953273773193,4.612310886383057,2.916551351547241,4.290998935699463
1697321840.8935215,3.2665719985961914,4.614127159118652,2.9165821075439453,4.124724864959717
1697321840.989022,3.2672481536865234,4.623931884765625,2.9166414737701416,4.2513909339904785
1697321841.083415,3.270200729370117,4.654890060424805,2.9168894290924072,4.329064846038818
1697321841.1789517,3.2707324028015137,4.648814678192139,2.9175617694854736,4.115657806396484
1697321841.2742095,3.268882989883423,4.5866804122924805,2.9202303886413574,4.286600589752197
1697321841.3692229,3.263928174972534,4.548122406005859,2.919440746307373,4.2065110206604
1697321841.4649365,3.2546427249908447,4.448386192321777,2.9258244037628174,4.207921028137207
1697321841.5599892,3.1096267700195312,4.47931432723999,2.9441730976104736,4.389715194702148
1697321841.655842,2.956979751586914,4.519027233123779,2.9437203407287598,4.426586627960205
1697321841.7510638,2.942375659942627,4.5497918128967285,2.9446332454681396,4.37634801864624
1697321841.8462532,2.9440720081329346,4.535525321960449,2.9459757804870605,4.438991069793701
1697321841.9420555,2.941106081008911,4.466216564178467,2.946509838104248,4.354913711547852
1697321842.037145,2.9373245239257812,4.452416896820068,2.9823179244995117,4.318047046661377
1697321842.1328864,3.153212547302246,4.415846347808838,2.9263980388641357,4.072232723236084
1697321842.2281723,3.2311158180236816,4.496942520141602,2.9631574153900146,4.179503440856934
1697321842.3232524,2.885077476501465,4.3777079582214355,3.136025905609131,4.45041561126709
1697321842.418873,2.457975149154663,4.502297401428223,3.042868137359619,4.345888614654541
1697321842.5140116,2.729182243347168,4.334164142608643,3.076439380645752,4.375826358795166
1697321842.6097333,2.876267194747925,4.328963756561279,3.0887794494628906,4.4385480880737305
1697321842.7042189,2.6806254386901855,4.304174423217773,3.1109368801116943,4.168211936950684
1697321842.7990398,2.7188122272491455,4.431978225708008,3.0722358226776123,4.16195821762085
1697321842.8942826,2.8353512287139893,4.343636989593506,3.004366874694824,4.19309139251709
1697321842.9889338,3.0726256370544434,4.495532512664795,2.9750967025756836,4.331564426422119
1697321843.0841343,3.2870233058929443,4.42929220199585,2.9662392139434814,4.35564661026001
1697321843.1789804,3.217714548110962,4.465359210968018,2.994584083557129,4.150407314300537
1697321843.2735064,3.0578017234802246,4.5797505378723145,2.9861438274383545,4.340825080871582
1697321843.3686128,3.1604225635528564,4.586067199707031,2.94408917427063,4.329984188079834
1697321843.4636126,3.3259711265563965,4.545442581176758,2.933969736099243,4.3668036460876465
1697321843.5593383,3.3139986991882324,4.499406814575195,2.935978412628174,4.403968811035156
1697321843.6539993,3.129929780960083,4.3755340576171875,2.9482803344726562,4.251914024353027
1697321843.7485414,3.115218162536621,4.547219276428223,2.9568612575531006,4.288288593292236
1697321843.8438017,3.141150951385498,4.500804424285889,2.9135260581970215,3.9354989528656006
1697321843.9390543,3.1473581790924072,4.618561267852783,2.932246208190918,4.219748497009277
1697321844.03491,3.1839287281036377,4.517463207244873,2.9318687915802,4.278683662414551
1697321844.1302276,3.2692036628723145,4.455717086791992,2.929866313934326,4.389283180236816
1697321844.225203,3.284025192260742,4.558811664581299,2.888489007949829,4.35106086730957
1697321844.3206878,3.314495801925659,4.371663570404053,2.8832602500915527,4.391732215881348
1697321844.4157877,3.35113787651062,4.544823169708252,2.8726718425750732,4.403364181518555
1697321844.5114918,3.2949860095977783,4.550312519073486,2.8758304119110107,4.391206741333008
1697321844.6261268,3.2275822162628174,4.59996223449707,2.8778302669525146,4.315188407897949
1697321844.722395,3.1798176765441895,4.576178550720215,2.898893356323242,4.293698310852051
1697321844.8181148,3.1308095455169678,4.661332607269287,2.901546001434326,4.220794677734375
1697321844.9135058,2.9270706176757812,4.568092346191406,2.860382318496704,4.3033270835876465
1697321845.0093553,3.018141984939575,4.388602256774902,2.8619885444641113,4.450839042663574
1697321845.1043665,3.1174168586730957,4.416074752807617,2.8405282497406006,4.3779730796813965
1697321845.199679,3.1141607761383057,4.546402454376221,2.8325986862182617,4.460211753845215
1697321845.2954912,3.1106927394866943,4.569718360900879,2.8209445476531982,4.381256103515625
1697321845.3903944,2.9852185249328613,4.395570278167725,2.8249480724334717,4.4178242683410645
1697321845.4856887,2.7882418632507324,4.52003288269043,2.78192138671875,4.350438594818115
1697321845.5806353,2.9446370601654053,4.445798873901367,2.7884812355041504,4.353874683380127
1697321845.6753964,2.9234185218811035,4.568331718444824,2.794539213180542,4.114662170410156
1697321845.7706885,2.771521806716919,4.435561180114746,2.793701410293579,4.222099781036377
1697321845.8655627,2.8961594104766846,4.532675266265869,2.796499729156494,4.330331802368164
1697321845.9609895,2.9790003299713135,4.339733123779297,2.7877533435821533,4.330508232116699
1697321846.055807,3.0151994228363037,4.5220513343811035,2.78462815284729,4.370972633361816
1697321846.1507175,3.076852560043335,4.461376667022705,2.7875473499298096,4.405919551849365
1697321846.246055,3.0981130599975586,4.346591949462891,2.8055567741394043,4.317889213562012
1697321846.3408215,2.877161741256714,4.535513401031494,2.8247087001800537,4.272350311279297
1697321846.4363558,2.8697047233581543,4.530763149261475,2.8356363773345947,4.363067626953125
1697321846.5312443,2.9536757469177246,4.38859224319458,2.8261449337005615,4.41898775100708
1697321846.6257222,2.973327398300171,4.552418231964111,2.8306937217712402,4.403280258178711
1697321846.7215352,3.0378971099853516,4.35026741027832,2.8268728256225586,4.389887809753418
1697321846.8167622,3.0346226692199707,4.426977634429932,2.8296635150909424,4.42647647857666
1697321846.912432,3.058939218521118,4.531565189361572,2.8292477130889893,4.449729919433594
1697321847.0077317,2.9726130962371826,4.403340816497803,2.843970537185669,4.439993858337402
1697321847.1027677,3.1003782749176025,4.025007247924805,2.838775157928467,4.434047222137451
1697321847.1992855,3.062063217163086,4.488615989685059,2.84138822555542,4.033034324645996
1697321847.2947567,3.0487334728240967,4.326958656311035,2.851529836654663,4.430695056915283
1697321847.39054,3.006627082824707,4.530274391174316,2.864725112915039,4.371485710144043
1697321847.4857974,3.0823898315429688,4.506498336791992,2.8647053241729736,4.453289031982422
1697321847.5811539,3.073937177658081,4.452391147613525,2.870769500732422,4.43297004699707
1697321847.6769357,2.930478096008301,4.3956618309021,2.873781204223633,4.392756462097168
1697321847.7722764,3.077674388885498,4.544134616851807,2.872911214828491,4.377586841583252
1697321847.8683994,3.184710741043091,4.5714802742004395,2.8717267513275146,4.232083797454834
1697321847.9639053,3.2074828147888184,4.5227227210998535,2.890965223312378,4.403542995452881
1697321848.0590498,3.2458767890930176,4.385097980499268,2.8889071941375732,4.332064151763916
1697321848.154066,3.2356622219085693,4.545268535614014,2.892094135284424,4.400890350341797
1697321848.2488973,3.264942169189453,4.279207706451416,2.8996646404266357,4.374997138977051
1697321848.344301,3.134521961212158,4.423377513885498,2.9037225246429443,4.056066513061523
1697321848.4391477,3.14105486869812,4.598945617675781,2.906191349029541,4.047394275665283
1697321848.5337286,3.2771716117858887,4.452203273773193,2.9192311763763428,3.7837798595428467
1697321848.62912,3.350933074951172,4.504471302032471,2.955552339553833,3.894502878189087
1697321848.7241533,3.2337634563446045,4.581635475158691,2.9636642932891846,4.01171350479126
1697321848.8196905,3.205993413925171,4.45731258392334,3.050745725631714,4.154430866241455
1697321848.9147735,3.286360740661621,4.510005950927734,3.0352742671966553,4.01039457321167
1697321849.0095637,3.300572633743286,4.50520658493042,3.038583278656006,3.9921910762786865
